Tempchange	Population	Area	Density	Coast	Latitude	Altitude	TrueSize
1.49825	4765000	125	38120	0	5.63 	59	4765000
0.205	3041000	203	14980.29557	371.52	8.84 	8995.441	3041000
1.640916667	6930000	135	51333.33333	51.54	23.31 	174	6930000
-0.1313333333	1850000	73	25342.46575	67.54	36.17 	1243	1850000
1.19525	4577000	113	40504.42478	0	31.35 	16.4	4577000
-1.239416667	4299000	255	16858.82353	116.43	39.38 	3077	4299000
0.7054166667	6534000	260	25130.76923	335.34	32.95 	152.336	6534000
-0.24875	9330000	440	21204.54545	165.8	12.05 	3503.728	9330000
0.4505833333	14910000	950	15694.73684	16.52	13.66 	3.8084	14910000
2.152083333	4486000	420	10680.95238	218	20.09 	3244.757	4486000
0.6606666667	4006000	520	7703.846154	89.99	52.24 	129.4856	4006000
-0.65525	8188000	190	43094.73684	213.79	4.02 	9974.2	8188000
0.6750833333	17672000	211	83753.5545	0	18.48 	46	17672000
0.8995	2556000	2240	1141.071429	543.97	15.27 	4109.2636	2556000
-0.4449166667	15206000	680	22361.76471	74.54	29.74 	83.7848	15206000
0.29225	14896000	465	32034.4086	30.11	23.31 	30	14896000
0.4538333333	2227000	239	9317.991632	47.59	4.02 	3340	2227000
1.336083333	4005000	950	4215.789474	0	32.95 	750	4005000
2.400833333	3359818	80	41997.725	0	32.95 	200	3359818
-0.5270833333	4041000	716	5643.854749	264.98	44.20 	730	4041000
0.56575	8891000	425	20920	664.26	31.35 	1640	8891000
-0.1085833333	9238000	2647	3489.988666	0	42.59 	597	9238000
-0.5985833333	6782000	340	19947.05882	551.68	29.74 	801	6782000
2.296166667	3938000	337	11685.45994	0	15.27 	140.9108	3938000
-0.8129166667	3891000	300	12970	0	39.38 	95	3891000
0.8145	3915000	220	17795.45455	0	7.23 	180	3915000
0.3200833333	24134000	800	30167.5	651.1	28.13 	709	24134000
0.2319166667	14816000	130	113969.2308	112.12	23.31 	13	14816000
0.2808333333	3720000	87	42758.62069	0	29.74 	25	3720000
0.3954166667	3203000	490	6536.734694	602.16	31.35 	610	3203000
0.9979166667	4167000	2872	1450.905292	0	4.02 	52	4167000
-0.09175	8800000	610	14426.22951	79.67	29.74 	62	8800000
0.4830833333	6776000	470	14417.02128	40.62	23.31 	68	6776000
2.398583333	2123000	371	5722.371968	283.15	18.48 	5636.432	2123000
-2.288083333	4609000	200	23045	326.7	45.81 	488	4609000
0.58325	9031000	545	16570.6422	27.91	10.45 	72.3596	9031000
-0.6558333333	8445000	410	20597.56098	166.86	16.87 	2064.153	8445000
1.804083333	2560000	1190	2151.260504	64.83	7.23 	755	2560000
-0.1364166667	13187000	520	25359.61538	0	40.99 	131	13187000
-0.139	2965900	355	8354.647887	0	37.78 	7	2965900
0.25775	3046000	180	16922.22222	509.93	26.52 	1414	3046000
0.7741666667	29959000	1200	24965.83333	0	5.63 	11.4252	29959000
2.273083333	3976000	600	6626.666667	0	21.70 	39	3976000
0.9100833333	5918000	2363	2504.443504	112.1	36.17 	75	5918000
0.5293333333	4601000	397	11589.42065	654.87	34.56 	6881.779	4601000
0.7586666667	2828000	193	14652.84974	478.83	12.05 	1601	2828000
-0.1138333333	4581000	100	45810	545.59	26.52 	413	4581000
2.681916667	21585000	1362	15848.01762	0	24.92 	33	21585000
-0.2556666667	2962000	324	9141.975309	266.14	50.63 	639.8112	2962000
0.2399166667	9735000	225	43266.66667	224.11	4.02 	914.016	9735000
1.152583333	12549000	350	35854.28571	0	5.63 	135	12549000
1.069083333	8376000	285	29389.47368	651.38	31.35 	712	8376000
0.5859166667	3500000	244	14344.2623	534.8	26.52 	404	3500000
1.0115	9668000	330	29296.9697	0	12.05 	407.4988	9668000
0.1494166667	10149000	671	15125.18629	25	52.24 	53.3176	10149000
-0.3236666667	15250000	2432	6270.559211	0	34.56 	305	15250000
0.7978333333	5654000	345	16388.4058	0	8.84 	22.8504	5654000
1.542	8891000	425	20920	0	13.66 	2242	8891000
-0.923	6183000	510	12123.52941	193.65	40.99 	2540.203	6183000
2.404666667	22710000	610	37229.5082	0	15.27 	26.6588	22710000
1.572083333	2427316	328	7400.353659	697.47	36.17 	3264	2427316
1.428833333	3788000	982	3857.433809	0	37.78 	102	3788000
-0.7168333333	20300000	800	25375	149.25	20.09 	8439.414	20300000
3.03475	2388000	140	17057.14286	0	2.41 	106.6352	2388000
0.7515833333	3519000	499	7052.104208	201.7	45.81 	300	3519000
1.408416667	15885000	1800	8825	392.81	55.45 	472.2416	15885000
0.429	10238000	1475	6941.016949	0	34.56 	79	10238000
0.1008333333	2406000	152	15828.94737	353.03	21.70 	1017	2406000
1.00875	4652000	215	21637.2093	255.04	0.80 	6580.915	4652000
0.22425	5854000	455	12865.93407	119.15	31.35 	66	5854000
1.756416667	24134000	800	30167.5	487.82	28.13 	799.764	24134000
-0.5050833333	20661000	4495	4596.440489	0	40.99 	33	20661000
1.109666667	10975000	1098	9995.446266	86.04	49.03 	129.4856	10975000
-0.5963333333	19277000	1450	13294.48276	97.34	39.38 	143	19277000
-0.4176666667	5376000	185	29059.45946	62.29	18.48 	1837	5376000
0.3225833333	4714000	210	22447.61905	29.44	16.87 	49	4714000
1.190416667	11723000	780	15029.48718	0	23.31 	7	11723000
2.049916667	5231000	580	9018.965517	223.8	24.92 	2376.442	5231000
0.2993333333	3798000	430	8832.55814	16.19	42.59 	53.3176	3798000
2.35125	20273000	1100	18430	28.82	23.31 	2894.384	20273000
0.8929166667	5132000	520	9869.230769	0	60.27 	44	5132000
2.01425	2887000	268	10772.38806	0	13.66 	26	2887000
-1.41325	6243000	380	16428.94737	51.85	32.95 	1984.176	6243000
1.806	2908607	1041	2794.050913	0	18.48 	0	2908607
0.37925	22992000	875	26276.57143	12.85	37.78 	125.6772	22992000
2.079083333	22650000	1400	16178.57143	0	31.35 	464.6248	22650000
-1.500583333	5816000	360	16155.55556	121.35	40.99 	180	5816000
0.4299166667	5428000	200	27140	0	0.80 	0	5428000
0.95075	5067000	260	19488.46154	0	7.23 	16.4	5067000
0.7475833333	4897000	90	54411.11111	0	21.70 	43	4897000
0.3240833333	3980000	786	5063.613232	0	34.56 	116.79	3980000
2.739333333	7317000	440	16629.54545	12.58	24.92 	36	7317000
